course,Introduction,Fee,Duration,Link,Address,Contact
SARJANA MUDA SENI BINA DALAMAN (KEPUJIAN),NA,1250 per semester,NA,http://admission.usm.my/index.php/en/undergraduate-malaysian/program-pengajian/ijazah-sarjana-muda-penuh-masa/sains/269-sh25-ijazah-sarjana-muda-seni-bina-dalaman-kepujian,"Pusat Pengajian Teknologi Industri, Universiti Sains Malaysia 11800 Penang.",NA
"SARJANA MUDA SAINS (PERUMAHAN, BANGUNAN DAN PERANCANGAN) (KEPUJIAN) (UKUR BAHAN)",NA,1250 per semester,NA,http://admission.usm.my/index.php/en/undergraduate-malaysian/program-pengajian/ijazah-sarjana-muda-penuh-masa/sains/267-sh06-ijazah-sarjana-muda-sains-perumahan-bangunan-dan-perancangan-kepujian-ukur-bahan,"Pusat Pengajian Teknologi Industri, Universiti Sains Malaysia 11800 Penang.",NA
SARJANA MUDA SAINS SENI BINA (KEPUJIAN),NA,1250 per semester,NA,http://admission.usm.my/index.php/en/undergraduate-malaysian/program-pengajian/ijazah-sarjana-muda-penuh-masa/sains/264-sh03-ijazah-sarjana-muda-sains-perumahan-bangunan-dan-perancangan-kepujian-seni-bina,"Pusat Pengajian Teknologi Industri, Universiti Sains Malaysia 11800 Penang.",NA
SARJANA MUDA PERANCANGAN BANDAR DAN WILAYAH (KEPUJIAN),NA,1250 per semester,NA,http://admission.usm.my/index.php/en/undergraduate-malaysian/program-pengajian/ijazah-sarjana-muda-penuh-masa/sains/265-sh20-ijazah-sarjana-muda-perancangan-bandar-dan-wilayah-kepujian,"Pusat Pengajian Teknologi Industri, Universiti Sains Malaysia 11800 Penang.",NA
SARJANA MUDA UKUR BANGUNAN (KEPUJIAN,NA,1250 per semester,NA,http://admission.usm.my/index.php/en/undergraduate-malaysian/program-pengajian/ijazah-sarjana-muda-penuh-masa/sains/266-sh05-ijazah-sarjana-muda-sains-perumahan-bangunan-dan-perancangan-kepujian-ukur-bangunan,"Pusat Pengajian Teknologi Industri, Universiti Sains Malaysia 11800 Penang.",NA
SARJANA MUDA SAINS (KEPUJIAN) (PENGURUSAN PROJEK BINAAN,NA,1250 per semester,NA,http://admission.usm.my/index.php/en/undergraduate-malaysian/program-pengajian/ijazah-sarjana-muda-penuh-masa/sains/268-sh08-ijazah-sarjana-muda-sains-perumahan-bangunan-dan-perancangan-kepujian-pengurusan-binaan,"Pusat Pengajian Teknologi Industri, Universiti Sains Malaysia 11800 Penang.",NA
SARJANA MUDA TEKNOLOGI KEJURUTERAAN BANGUNAN (KEPUJIAN),NA,1250 per semester,NA,http://admission.usm.my/index.php/en/undergraduate-malaysian/program-pengajian/ijazah-sarjana-muda-penuh-masa/sains/270-sh13-ijazah-sarjana-muda-sains-perumahan-bangunan-dan-perancangan-kepujian-teknologi-bangunan,"Pusat Pengajian Teknologi Industri, Universiti Sains Malaysia 11800 Penang.",NA
SARJANA MUDA SASTERA (KEPUJIAN),NA,1060 per semester,NA,http://admission.usm.my/index.php/en/undergraduate-malaysian/program-pengajian/ijazah-sarjana-muda-penuh-masa/sastera/217-sa00-sastera,"Pusat Pengajian Ilmu Pendidikan, Universiti Sains Malaysia,11800 USM, Pulau Pinang Malaysia",NA
SARJANA MUDA SASTERA (KEPUJIAN) (TERJEMAHAN DENGAN INTERPRETASI),NA,1060 per semester,NA,http://admission.usm.my/index.php/en/undergraduate-malaysian/program-pengajian/ijazah-sarjana-muda-penuh-masa/sastera/246-sb01-ijazah-sarjana-muda-sastera-kepujian-terjemahan-dengan-interpretasi,"Pusat Pengajian Ilmu Pendidikan, Universiti Sains Malaysia,11800 USM, Pulau Pinang Malaysia",NA
SARJANA MUDA SASTERA (KEPUJIAN) (BAHASA INGGERIS DAN KESUSASTERAAN),NA,1060 per semester,NA,http://admission.usm.my/index.php/en/undergraduate-malaysian/program-pengajian/ijazah-sarjana-muda-penuh-masa/sastera/245-sb00-ijazah-sarjana-muda-sastera-kepujian-bahasa-inggeris-dan-kesusasteraan,"Pusat Pengajian Ilmu Pendidikan, Universiti Sains Malaysia,11800 USM, Pulau Pinang Malaysia",NA
SARJANA MUDA SASTERA (KEPUJIAN) (BAHASA INGGERIS UNTUK PROFESIONAL),NA,1060 per semester,NA,http://admission.usm.my/index.php/en/undergraduate-malaysian/program-pengajian/ijazah-sarjana-muda-penuh-masa/sastera/247-sb02-ijazah-sarjana-muda-sastera-kepujian-bahasa-inggeris-untuk-profesional,"Pusat Pengajian Ilmu Pendidikan, Universiti Sains Malaysia,11800 USM, Pulau Pinang Malaysia",NA
SARJANA MUDA SAINS KEMASYARAKATAN (KEPUJIAN),NA,1060 per semester,NA,http://admission.usm.my/index.php/en/undergraduate-malaysian/program-pengajian/ijazah-sarjana-muda-penuh-masa/sastera/227-sa03-ijazah-sarjana-muda-sains-kemasyarakatan-kepujian,"Pusat Pengajian Ilmu Pendidikan, Universiti Sains Malaysia,11800 USM, Pulau Pinang Malaysia",NA
SARJANA MUDA EKONOMI (KEPUJIAN),NA,1060 per semester,NA,http://admission.usm.my/index.php/en/undergraduate-malaysian/program-pengajian/ijazah-sarjana-muda-penuh-masa/sastera/250-se00-ijazah-sarjana-muda-ekonomi-kepujian,"Pusat Pengajian Ilmu Pendidikan, Universiti Sains Malaysia,11800 USM, Pulau Pinang Malaysia",NA
SARJANA MUDA KERJA SOSIAL (KEPUJIAN,NA,1060 per semester,NA,http://admission.usm.my/index.php/en/undergraduate-malaysian/program-pengajian/ijazah-sarjana-muda-penuh-masa/sastera/239-sa09-ijazah-sarjana-muda-kerja-sosial-kepujian,"Pusat Pengajian Ilmu Pendidikan, Universiti Sains Malaysia,11800 USM, Pulau Pinang Malaysia",NA
SARJANA MUDA KOMUNIKASI (KEPUJIAN),NA,1100 per semester,NA,http://admission.usm.my/index.php/en/undergraduate-malaysian/program-pengajian/ijazah-sarjana-muda-penuh-masa/sastera/218-sa02-ijazah-sarjana-muda-komunikasi-kepujian,"Pusat Pengajian Ilmu Pendidikan, Universiti Sains Malaysia,11800 USM, Pulau Pinang Malaysia",NA
SARJANA MUDA PERAKAUNAN (KEPUJIAN),NA,1100 per semester,NA,http://admission.usm.my/index.php/en/undergraduate-malaysian/program-pengajian/ijazah-sarjana-muda-penuh-masa/sastera/251-se02-ijazah-sarjana-muda-perakaunan-kepujian,"Pusat Pengajian Ilmu Pendidikan, Universiti Sains Malaysia,11800 USM, Pulau Pinang Malaysia",NA
SARJANA MUDA PENGURUSAN (KEPUJIAN),NA,1100 per semester,NA,http://admission.usm.my/index.php/en/undergraduate-malaysian/program-pengajian/ijazah-sarjana-muda-penuh-masa/sastera/298-sp00-ijazah-sarjana-muda-pengurusan-kepujian,"Pusat Pengajian Ilmu Pendidikan, Universiti Sains Malaysia,11800 USM, Pulau Pinang Malaysia",NA
